DATE,Airline code,Flight Designator,SOBT,Hour,Routing,Traffic Type,Public Terminal,GHA,Seats
21-06-2026,G9,G9 466,18:35,18,DEL-SHJ,INTERNATIONAL,Terminal 3,BFS,168
21-06-2026,AI,AI 2283,18:40,18,DEL-DOH,INTERNATIONAL,Terminal 3,AISATS,164
21-06-2026,AI,AI 358,18:10,18,DEL-HND,INTERNATIONAL,Terminal 3,AISATS,250
21-06-2026,UL,UL 196,18:45,18,DEL-CMB,INTERNATIONAL,Terminal 3,BFS,188
21-06-2026,NH,NH 838,18:00,18,DEL-HND,INTERNATIONAL,Terminal 3,AISATS,246
21-06-2026,IX,IX 163,18:25,18,DEL-MCT,INTERNATIONAL,Terminal 3,AISATS,180
21-06-2026,6E,6E 1169,18:25,18,DEL-CMB,INTERNATIONAL,Terminal 3,BFS,186
21-06-2026,KE,KE 498,18:50,18,DEL-ICN,INTERNATIONAL,Terminal 3,BFS,278
21-06-2026,SG,SG 5105,18:45,18,DEL-DXB,INTERNATIONAL,Terminal 3,BFS,189
21-06-2026,MU,MU 564,19:55,19,DEL-PVG,INTERNATIONAL,Terminal 3,BFS,262
21-06-2026,6E,6E 1463,19:10,19,DEL-DXB,INTERNATIONAL,Terminal 3,BFS,220
21-06-2026,JL,JL 030,19:05,19,DEL-HND,INTERNATIONAL,Terminal 3,BFS,239
21-06-2026,SV,SV 9651,19:50,19,DEL-MED,INTERNATIONAL,Terminal 3,AISATS,326
21-06-2026,AI,AI 2145,20:50,20,DEL-DPS,INTERNATIONAL,Terminal 3,AISATS,188
21-06-2026,6E,6E 083,20:55,20,DEL-DMM,INTERNATIONAL,Terminal 3,BFS,232
21-06-2026,6E,6E 1231,20:15,20,DEL-KWI,INTERNATIONAL,Terminal 3,BFS,186
21-06-2026,6E,6E 1701,20:20,20,DEL-CAN,INTERNATIONAL,Terminal 3,BFS,186
21-06-2026,XJ,XJ 231,20:55,20,DEL-DMK,INTERNATIONAL,Terminal 3,BFS,377
21-06-2026,AI,AI 101,21:45,21,DEL-FCO-JFK,INTERNATIONAL,Terminal 3,AISATS,316
