seat,flight,N1_entry,N1_wait_r200_flight,N1_wait_r180_flight,N1_proc_r200_flight,N1_proc_r180_flight,N1_wait_r200_airline,N1_wait_r180_airline,N1_proc_r200_airline,N1_proc_r180_airline,N1_wait_r200_gha,N1_wait_r180_gha,N1_proc_r200_gha,N1_proc_r180_gha
279,AI 173,-147.0,399.667,353.0,256.0,209.0,1684.667,1509.0,1541.0,1365.0,1698.0,1521.0,1554.333,1377.0
233,AI 173,-146.0,402.0,355.0,259.333,212.0,1743.667,1562.0,1601.0,1419.0,1757.0,1574.0,1614.333,1431.0
274,AI 173,-145.0,414.333,366.0,272.667,224.0,1812.667,1624.0,1671.0,1482.0,1826.0,1636.0,1684.333,1494.0
177,AI 173,-145.0,411.0,363.0,269.333,221.0,1809.333,1621.0,1667.667,1479.0,1822.667,1633.0,1681.0,1491.0
33,AI 173,-145.0,404.333,357.0,262.667,215.0,1802.667,1615.0,1661.0,1473.0,1816.0,1627.0,1674.333,1485.0
99,AI 173,-145.0,407.667,360.0,266.0,218.0,1806.0,1618.0,1664.333,1476.0,1819.333,1630.0,1677.667,1488.0
112,AI 173,-144.0,420.0,371.0,279.333,230.0,1868.333,1674.0,1727.667,1533.0,1885.0,1689.0,1744.333,1548.0
73,AI 173,-144.0,416.667,368.0,276.0,227.0,1865.0,1671.0,1724.333,1530.0,1881.667,1686.0,1741.0,1545.0
117,AI 173,-144.0,423.333,374.0,282.667,233.0,1871.667,1677.0,1731.0,1536.0,1888.333,1692.0,1747.667,1551.0
67,AI 173,-143.0,425.667,376.0,286.0,236.0,1924.0,1724.0,1784.333,1584.0,1940.667,1739.0,1801.0,1599.0
262,AI 173,-143.0,439.0,388.0,299.333,248.0,1937.333,1736.0,1797.667,1596.0,1954.0,1751.0,1814.333,1611.0
188,AI 173,-143.0,435.667,385.0,296.0,245.0,1934.0,1733.0,1794.333,1593.0,1950.667,1748.0,1811.0,1608.0
173,AI 173,-143.0,432.333,382.0,292.667,242.0,1930.667,1730.0,1791.0,1590.0,1947.333,1745.0,1807.667,1605.0
110,AI 173,-143.0,429.0,379.0,289.333,239.0,1927.333,1727.0,1787.667,1587.0,1944.0,1742.0,1804.333,1602.0
242,AI 173,-142.0,444.667,393.0,306.0,254.0,1986.333,1780.0,1847.667,1641.0,2006.333,1798.0,1867.667,1659.0
43,AI 173,-142.0,441.333,390.0,302.667,251.0,1983.0,1777.0,1844.333,1638.0,2003.0,1795.0,1864.333,1656.0
2,AI 173,-141.0,447.0,395.0,309.333,257.0,2042.0,1830.0,1904.333,1692.0,2062.0,1848.0,1924.333,1710.0
287,AI 173,-140.0,452.667,400.0,316.0,263.0,2107.667,1889.0,1971.0,1752.0,2127.667,1907.0,1991.0,1770.0
105,AI 173,-140.0,449.333,397.0,312.667,260.0,2104.333,1886.0,1967.667,1749.0,2124.333,1904.0,1987.667,1767.0
62,AI 173,-139.0,455.0,402.0,319.333,266.0,2146.667,1924.0,2011.0,1788.0,2170.0,1945.0,2034.333,1809.0
115,AI 173,-139.0,458.333,405.0,322.667,269.0,2150.0,1927.0,2014.333,1791.0,2173.333,1948.0,2037.667,1812.0
169,AI 173,-138.0,477.333,422.0,342.667,287.0,2255.667,2022.0,2121.0,1887.0,2282.333,2046.0,2147.667,1911.0
5,AI 173,-138.0,460.667,407.0,326.0,272.0,2239.0,2007.0,2104.333,1872.0,2265.667,2031.0,2131.0,1896.0
6,AI 173,-138.0,464.0,410.0,329.333,275.0,2242.333,2010.0,2107.667,1875.0,2269.0,2034.0,2134.333,1899.0
81,AI 173,-138.0,470.667,416.0,336.0,281.0,2249.0,2016.0,2114.333,1881.0,2275.667,2040.0,2141.0,1905.0
218,AI 173,-138.0,484.0,428.0,349.333,293.0,2262.333,2028.0,2127.667,1893.0,2289.0,2052.0,2154.333,1917.0
185,AI 173,-138.0,480.667,425.0,346.0,290.0,2259.0,2025.0,2124.333,1890.0,2285.667,2049.0,2151.0,1914.0
22,AI 173,-138.0,467.333,413.0,332.667,278.0,2245.667,2013.0,2111.0,1878.0,2272.333,2037.0,2137.667,1902.0
100,AI 173,-138.0,474.0,419.0,339.333,284.0,2252.333,2019.0,2117.667,1884.0,2279.0,2043.0,2144.333,1908.0
265,AI 173,-137.0,489.667,433.0,356.0,299.0,2348.0,2105.0,2214.333,1971.0,2378.0,2132.0,2244.333,1998.0
179,AI 173,-137.0,486.333,430.0,352.667,296.0,2344.667,2102.0,2211.0,1968.0,2374.667,2129.0,2241.0,1995.0
44,AI 173,-136.0,495.333,438.0,362.667,305.0,2413.667,2164.0,2281.0,2031.0,2450.333,2197.0,2317.667,2064.0
58,AI 173,-136.0,498.667,441.0,366.0,308.0,2417.0,2167.0,2284.333,2034.0,2453.667,2200.0,2321.0,2067.0
78,AI 173,-136.0,502.0,444.0,369.333,311.0,2420.333,2170.0,2287.667,2037.0,2457.0,2203.0,2324.333,2070.0
215,AI 173,-136.0,505.333,447.0,372.667,314.0,2423.667,2173.0,2291.0,2040.0,2460.333,2206.0,2327.667,2073.0
30,AI 173,-136.0,492.0,435.0,359.333,302.0,2410.333,2161.0,2277.667,2028.0,2447.0,2194.0,2314.333,2061.0
103,AI 173,-135.0,511.0,452.0,379.333,320.0,2486.0,2229.0,2354.333,2097.0,2522.667,2262.0,2391.0,2130.0
246,AI 173,-135.0,517.667,458.0,386.0,326.0,2492.667,2235.0,2361.0,2103.0,2529.333,2268.0,2397.667,2136.0
138,AI 173,-135.0,514.333,455.0,382.667,323.0,2489.333,2232.0,2357.667,2100.0,2526.0,2265.0,2394.333,2133.0
94,AI 173,-135.0,507.667,449.0,376.0,317.0,2482.667,2226.0,2351.0,2094.0,2519.333,2259.0,2387.667,2127.0
