grouping,model,regime,target_min,n_groups,airport_peak,sum_group_peaks,max_single_group,total_counter_min
flight,SR10,r180,20,164,198,3214,39,127636
flight,SR10,r200,40,164,206,2838,35,142167
flight,SR10,r180,40,164,187,2565,31,129598
flight,SR11,r200,20,164,178,2028,25,146520
flight,SR11,r180,20,164,163,1836,22,135089
flight,SR11,r200,40,164,175,1821,22,150421
flight,SR11,r180,40,164,157,1652,20,138020
flight,SR12,r200,20,164,167,1481,17,152539
flight,SR12,r180,20,164,152,1342,15,141768
flight,SR12,r200,40,164,169,1333,16,157307
flight,SR12,r180,40,164,152,1204,14,145408
flight,SR13,r200,20,164,151,1169,14,158889
flight,SR13,r180,20,164,141,1060,13,148804
flight,SR13,r200,40,164,154,1052,12,165645
flight,SR13,r180,40,164,139,959,11,154006
flight,SR14,r200,20,164,185,2099,25,146035
flight,SR14,r180,20,164,168,1906,23,134538
flight,SR14,r200,40,164,179,1875,23,149773
flight,SR14,r180,40,164,163,1695,21,137444
flight,SR15,r200,20,164,186,2137,29,145865
flight,SR15,r180,20,164,172,1943,26,134440
flight,SR15,r200,40,164,180,1889,24,149500
flight,SR15,r180,40,164,166,1717,22,137249
flight,SR16,r200,20,164,152,1239,14,157384
flight,SR16,r180,20,164,140,1124,12,147184
flight,SR16,r200,40,164,153,1111,13,163587
flight,SR16,r180,40,164,143,1008,11,152225
flight,SR17,r200,20,164,221,3638,44,139538
flight,SR17,r180,20,164,201,3299,39,127281
flight,SR17,r200,40,164,205,2876,37,141400
flight,SR17,r180,40,164,186,2603,33,128864
flight,SR18,r200,20,164,180,2093,24,146089
flight,SR18,r180,20,164,167,1900,22,134541
flight,SR18,r200,40,164,175,1874,23,149936
flight,SR18,r180,40,164,160,1697,21,137543
flight,SR19,r200,20,164,166,1518,20,152048
flight,SR19,r180,20,164,152,1379,18,141179
flight,SR19,r200,40,164,165,1361,16,156908
flight,SR19,r180,40,164,150,1246,15,145161
flight,SR20,r200,20,164,155,1225,14,157995
flight,SR20,r180,20,164,144,1122,13,147726
flight,SR20,r200,40,164,156,1083,13,164893
flight,SR20,r180,40,164,143,994,11,153388
flight,SR21,r200,20,164,213,3668,47,139631
flight,SR21,r180,20,164,196,3311,42,127346
flight,SR21,r200,40,164,203,2879,37,141346
flight,SR21,r180,40,164,184,2606,33,128759
flight,SR22,r200,20,164,165,1534,19,151992
flight,SR22,r180,20,164,153,1399,17,141160
flight,SR22,r200,40,164,161,1385,17,156829
flight,SR22,r180,40,164,147,1259,15,144925
flight,SR23,r200,20,164,223,3646,46,139656
flight,SR23,r180,20,164,201,3301,41,127424
flight,SR23,r200,40,164,206,2881,37,141528
flight,SR23,r180,40,164,188,2596,33,128975
flight,SR24,r200,20,164,189,2118,28,145837
flight,SR24,r180,20,164,170,1931,25,134261
flight,SR24,r200,40,164,178,1890,23,149270
flight,SR24,r180,40,164,162,1716,21,136981
flight,SR25,r200,20,164,169,1551,18,151846
flight,SR25,r180,20,164,155,1407,16,140987
flight,SR25,r200,40,164,164,1391,17,156753
flight,SR25,r180,40,164,149,1262,15,144862
flight,SR26,r200,20,164,156,1225,16,158072
flight,SR26,r180,20,164,146,1115,14,147761
flight,SR26,r200,40,164,155,1095,14,164351
flight,SR26,r180,40,164,144,1003,12,152604
flight,SR27,r200,20,164,185,2162,26,145501
flight,SR27,r180,20,164,168,1957,23,133904
flight,SR27,r200,40,164,177,1927,24,148981
flight,SR27,r180,40,164,160,1744,22,136747
flight,SR28,r200,20,164,184,2190,29,145254
flight,SR28,r180,20,164,168,1989,26,133655
flight,SR28,r200,40,164,174,1954,24,148578
flight,SR28,r180,40,164,161,1768,22,136339
flight,SR29,r200,20,164,157,1270,15,156450
flight,SR29,r180,20,164,144,1163,14,146085
flight,SR29,r200,40,164,155,1142,15,162598
flight,SR29,r180,40,164,142,1031,13,151031
flight,SR30,r200,20,164,231,3755,51,138729
flight,SR30,r180,20,164,209,3406,46,126569
flight,SR30,r200,40,164,207,2945,37,140106
flight,SR30,r180,40,164,189,2668,34,127604
flight,SR31,r200,20,164,187,2195,26,145180
flight,SR31,r180,20,164,170,1988,23,133523
flight,SR31,r200,40,164,185,1950,23,148447
flight,SR31,r180,40,164,168,1775,21,136121
flight,SR32,r200,20,164,173,1594,19,151218
flight,SR32,r180,20,164,159,1449,17,140340
flight,SR32,r200,40,164,170,1436,18,156095
flight,SR32,r180,40,164,156,1302,16,144071
