No.,DATE,Airline code,Flight Designator,SOBT,Hour,Routing,Traffic Type,Public Terminal,GHA,Seats,Pax,D-4 Pax,D-3 Pax,D-2 Pax,D-4,D-3,D-2,Confidence
95,21-06-2026,AI,AI 157,12:15,12,DEL-CPH,INTERNATIONAL,Terminal 3,AISATS,256,205,62,82,62,08:15,09:15,10:15,high
96,21-06-2026,AI,AI 2029,12:20,12,DEL-FRA,INTERNATIONAL,Terminal 3,AISATS,259,207,62,83,62,08:20,09:20,10:20,high
97,21-06-2026,AI,AI 2362,12:25,12,DEL-MNL,INTERNATIONAL,Terminal 3,AISATS,188,150,45,60,45,08:25,09:25,10:25,high
98,21-06-2026,KB,KB 201,12:30,12,DEL-PBH,INTERNATIONAL,Terminal 3,BFS,118,94,28,38,28,08:30,09:30,10:30,high
99,21-06-2026,6E,6E 1103,12:35,12,DEL-DAC,INTERNATIONAL,Terminal 3,IndiGo,232,186,56,74,56,08:35,09:35,10:35,high
100,21-06-2026,AI,AI 281,12:40,12,DEL-CMB,INTERNATIONAL,Terminal 3,AISATS,182,146,44,58,44,08:40,09:40,10:40,high
101,21-06-2026,AI,AI 137,12:50,12,DEL-MXP,INTERNATIONAL,Terminal 3,AISATS,259,207,62,83,62,08:50,09:50,10:50,high
102,21-06-2026,AI,AI 2388,13:10,13,DEL-SGN,INTERNATIONAL,Terminal 3,AISATS,164,131,39,52,39,09:10,10:10,11:10,high
103,21-06-2026,AI,AI 2376,13:25,13,DEL-HKT,INTERNATIONAL,Terminal 3,AISATS,164,131,39,52,39,09:25,10:25,11:25,high
104,21-06-2026,6E,6E 1155,13:40,13,DEL-KTM,INTERNATIONAL,Terminal 3,IndiGo,186,149,45,60,45,09:40,10:40,11:40,high
105,21-06-2026,AI,AI 2243,13:45,13,DEL-RUH,INTERNATIONAL,Terminal 3,AISATS,162,130,39,52,39,09:45,10:45,11:45,high
106,21-06-2026,SQ,SQ 405,14:20,14,DEL-SIN,INTERNATIONAL,Terminal 3,AISATS,388,310,93,124,93,10:20,11:20,12:20,high
